TransactionID,CustomerID,Date,TransactionType,Amount,Discount,Tax,ShippingCost,Total,PaymentMethod,Status,Region,SourceDate
5b35b6a2-febe-43a9-95a4-161a47e52f3a,db9942c0-cfdf-43bf-b06c-d00c5a05529b,2024-01-25,Chargeback,4023.34,998.92,490.91,19.85,3535.18,Pix,Pending,North,2023
d4bac7b6-17d8-414f-9406-d1d3c3b504c4,e9905f32-6f85-45e4-9115-e4f0709f770e,2025-07-28,Refund,6679.04,299.8,393.96,158.3,6931.5,Debit Card,Failed,East,2023
265b5501-3951-452a-bc0d-b6b76f3e8469,f3beb28f-67d1-46ec-8e5f-e3a5829d7541,2024-08-12,Chargeback,9678.24,820.45,225.75,109.87,9193.41,Pix,Pending,North,2023
6a6e26df-6fcd-4f95-90e4-9ecf9da657bf,16edb919-a848-4e9c-a179-2d9f31fb6b84,2025-06-26,Sale,4285.25,53.17,338.14,289.14,4859.36,Debit Card,Failed,North,2023
4676f767-a429-4c07-907b-de00b572cd3d,c911d46c-f490-4869-a4ec-88e629dcf1ed,2023-08-15,Chargeback,2042.23,529.77,387.96,238.11,2138.53,Pix,Completed,East,2023
cb6f807d-c4f3-4e86-a187-32f882203fb1,0e56b3ec-d457-4b15-812e-8acbcb0d0206,2024-04-27,Sale,8182.76,536.69,134.84,36.62,7817.53,Pix,Pending,North,2023
f5f30643-2800-416a-b0c4-fc83cba26e7e,9aaa8e2f-a905-45a0-bcff-a96272a50d54,2024-09-20,Sale,7454.79,628.75,30.01,278.22,7134.27,Pix,Completed,West,2023
3df8c314-a70f-4bc9-83b1-7a42b30f46a6,4c3a2b4e-a27d-41a9-8ed2-e67906761e48,2025-06-22,Chargeback,8604.05,810.01,202.92,63.36,8060.32,Wire Transfer,Pending,North,2023
578eca82-8bb1-4e56-8d3e-6f136aa4b0c9,f0a60bc9-148b-42fa-af4b-1ed38b03ab6e,2024-08-25,Sale,2186.45,761.92,72.34,25.45,1522.32,Pix,Failed,West,2023
29766ad3-8709-4fd8-b190-beb6133fe2ff,a85b5df7-fb8f-4e92-8adb-4c5c3f178495,2025-06-21,Sale,4078.08,761.01,138.62,162.48,3618.17,Debit Card,Failed,East,2023
5c9765e2-ae62-4433-b319-1329b204e3ab,0ffc1ee5-93da-4480-9ed7-24d7856e62af,2025-01-22,Sale,9816.47,432.29,473.42,220.99,10078.59,Credit Card,Completed,West,2023
33f595c7-795c-4013-bed6-2c37be9ccd33,ff2dea4b-198c-43e5-9fd1-ee4fe9f64460,2025-02-11,Chargeback,1622.52,727.47,423.54,214.82,1533.41,Debit Card,Pending,South,2023
117d1aad-6306-4be0-8331-68d40f6782ab,463d6c0f-d832-42c3-b2e6-9479c0c8c6f2,2024-08-23,Refund,6730.94,491.32,296.23,160.22,6696.07,Wire Transfer,Failed,North,2023
641990b7-e993-4c3e-9ed2-df0c42abb0ab,b2de11ad-55d4-4323-a8a6-2d23d22985d0,2025-02-23,Chargeback,2409.99,66.95,200.63,147.82,2691.49,Debit Card,Pending,South,2023
ab716327-7e1b-46bf-947c-91cb078c2d91,b1f8cc4c-cbb4-49be-bff6-027b6828eb4c,2024-04-24,Sale,5026.58,890.18,132.17,290.86,4559.43,Wire Transfer,Completed,East,2023
98707b43-1602-4f51-8411-579241423086,6a85105e-7060-4ebd-b6f8-071166f12595,2023-11-25,Refund,8015.07,890.16,285.73,246.17,7656.81,Wire Transfer,Completed,West,2023
e5ed6fcd-0691-4fc0-8e7b-a20c60baf8bc,dc4a7ef6-959f-4b91-923b-e95be6f148b6,2023-12-12,Sale,4911.43,322.88,266.58,209.59,5064.72,Debit Card,Failed,East,2023
d340c2da-0fb8-4c30-8f68-fe5eb9c75a24,9082b394-4499-4740-a116-4937569ca9ec,2023-12-27,Sale,8064.54,913.9,390.39,58.56,7599.59,Credit Card,Pending,North,2023
53d0bc94-27b3-49d3-9692-6b9bba791007,18afda08-076b-4877-bce0-08f0662bcd70,2025-04-11,Refund,4292.03,757.98,464.01,245.93,4243.99,Debit Card,Failed,West,2023
ca42192e-82c0-4a74-ad35-d894698dbcc1,273d432d-9178-4529-89fc-98287be37151,2023-10-11,Chargeback,9993.56,400.8,164.47,224.93,9982.16,Debit Card,Failed,North,2023
ad469c88-d957-4c46-a7a9-2d7033c70f35,6c130b4c-7329-466b-9834-e9cfca47247c,2025-05-28,Chargeback,4386.49,331.51,103.15,297.61,4455.74,Credit Card,Pending,North,2023
a79f5cb2-99bb-4880-ad5e-209d547e3313,ee96a38f-1339-48ad-94c3-5fcd4e71c76a,2025-01-19,Chargeback,1536.33,975.14,201.4,39.9,802.49,Debit Card,Completed,East,2023
205c047e-d438-4447-ad37-6aeaebbb174f,f297de6a-deb8-4e1b-bbb1-17bbe64569fa,2025-06-28,Refund,4048.6,712.63,218.77,214.59,3769.33,Debit Card,Failed,West,2023
a0391831-3fd9-45e3-8531-782472343512,0a456ebb-cc6c-494e-8225-59137779bb5b,2024-12-06,Refund,7438.8,378.81,19.94,293.72,7373.65,Credit Card,Completed,North,2023
794f69f1-8e8e-4644-b6d7-607dcea29164,aa5cf0fa-270e-4aaa-a262-24bb2101f87d,2025-01-07,Refund,8486.98,641.98,430.85,138.78,8414.63,Debit Card,Completed,North,2023
54178c7e-61e6-42f9-ba81-a8587a429c49,4067b6e0-0113-447c-8e1c-447334a48af8,2023-12-10,Chargeback,4628.03,571.53,497.8,220.02,4774.32,Debit Card,Failed,East,2023
39730703-2252-4961-8009-abff42bdbe68,f50e7942-599a-4b6c-bc34-7d6eb4374902,2025-02-20,Refund,5965.04,524.54,461.6,292.61,6194.71,Debit Card,Pending,North,2023
7899ec2c-ff57-435c-b05b-b0824c338940,813aad18-73bd-428f-8e2a-592a3ae179a6,2025-07-12,Sale,8456.66,644.7,430.33,164.25,8406.54,Credit Card,Completed,North,2023
5834732e-487a-4da7-9f14-94a1c30c5192,75dff95a-70bf-417b-a983-8000dfbcddde,2023-09-12,Refund,8144.78,537.63,496.3,209.71,8313.16,Wire Transfer,Failed,South,2023
73a2de2d-3179-4421-a2cd-7f231d4e8871,dcae8170-5295-4b3f-a2cf-e7d0a838ebc6,2023-09-03,Sale,6594.35,654.79,453.9,6.03,6399.49,Credit Card,Pending,East,2023
01aa98d5-e0c9-484e-a8a0-03ca45c5970c,0f2f82a9-2615-4034-ba80-d52a3089660f,2025-02-28,Sale,8159.52,907.57,344.18,155.9,7752.03,Credit Card,Failed,East,2023
a5c20bdc-881d-46a4-a0b1-fa73c790f243,a2d82b39-5a72-4d95-aadb-20ec9e055195,2024-04-01,Refund,5780.31,993.26,83.38,76.74,4947.17,Pix,Pending,South,2023
d185ef8c-6b0b-4f7f-a9d3-1fe2c82660b9,2ebdf74d-b091-4574-a4f2-ff61968ad745,2023-08-17,Refund,96.25,709.29,78.18,39.37,-495.49,Credit Card,Pending,West,2023
a516198f-d023-4ce2-8c31-d3665b27e6d7,90642b33-862d-4c07-848c-c5a88838b639,2024-12-12,Sale,460.6,927.82,24.39,212.58,-230.25,Credit Card,Failed,West,2023
57827826-f6d0-40dd-ae79-7647c581a359,3c582c70-c8a9-410f-b96b-d0088e3db032,2023-12-02,Chargeback,9799.09,858.41,205.92,11.73,9158.33,Debit Card,Pending,East,2023
e9c00af0-3906-418e-91f0-1de02e4b7c7f,7fb4b109-8085-4f87-b570-dfb75c5ad3a4,2024-01-21,Refund,1492.67,295.04,404.41,271.46,1873.5,Pix,Completed,West,2023
5ca86e0a-7a8a-44b4-a05d-7c68aae9a405,f512b628-7565-4945-ba7d-04292cb5f85b,2025-01-02,Refund,4074.94,932.91,245.15,155.33,3542.51,Wire Transfer,Completed,North,2023
5ead7db6-744b-42d8-adc2-43c063744bab,e05c3e2f-9b91-4cbb-9e90-f1782be0b091,2024-03-13,Refund,9341.42,70.81,183.16,194.47,9648.24,Pix,Pending,South,2023
ac99004a-574f-454c-8077-7622c2fb0090,a0ed474e-3707-43ac-b0af-44d0f319a236,2023-11-19,Sale,1990.64,329.92,54.62,76.03,1791.37,Debit Card,Failed,North,2023
3bff55fd-038d-40da-822a-4b87d32f545b,78fc2ae6-b359-40f1-96e6-36a4b9897050,2025-07-29,Sale,8445.72,639.94,25.88,54.66,7886.32,Debit Card,Pending,South,2023
a246f2d5-958a-4a82-8e11-4722c771df14,0411c747-a084-4d14-af38-e0b1e449ac67,2023-09-13,Refund,8191.76,526.92,199.59,73.13,7937.56,Pix,Completed,South,2023
fcbeb8f9-c188-4ba6-829a-4fe0f7f94653,41437d71-e6b1-47b4-b335-049f29d52d4a,2023-12-31,Refund,9863.98,542.41,49.96,69.69,9441.22,Wire Transfer,Pending,North,2023
9ae4fa2e-3f2e-453c-9289-e007f86aba5f,9cc6b2dc-d0c9-4e4e-a4ef-858307aeec23,2024-01-30,Sale,2852.73,794.89,51.77,259.35,2368.96,Credit Card,Failed,North,2023
5ba7e944-9ec3-45d4-9c7a-cc7972edcbf9,66a053a3-80c6-451b-9348-941f3e202d68,2025-01-15,Sale,3187.49,194.7,197.67,236.2,3426.66,Debit Card,Failed,North,2023
a81da870-6639-4244-bca3-06185448c106,b6c00396-3208-4490-ac76-d0efaa7d8c3e,2025-05-11,Refund,9033.64,982.08,251.42,255.82,8558.8,Pix,Completed,South,2023
2b65093c-f068-4d68-a0dd-83514c63db37,4eef076d-874c-4653-8cc6-e8269b3ec7ad,2024-10-04,Chargeback,2379.09,437.46,93.34,220.46,2255.43,Pix,Completed,East,2023
db254e02-0c91-46cb-af93-27ef2e6350e2,88a193a4-4943-4607-a255-f721c40add0d,2024-08-13,Chargeback,5501.61,949.84,342.32,193.07,5087.16,Credit Card,Failed,North,2023
089bbddd-7023-428e-8312-ac959410d11e,ad6570df-22a4-43c9-843d-be6e493724a0,2024-12-17,Sale,7088.08,383.12,209.35,158.36,7072.67,Pix,Completed,North,2023
428d2b98-e2ac-4eda-81cd-520754e9dcda,8ea71162-95e5-429d-bf9b-33d4747525fc,2024-01-18,Refund,2755.25,601.79,45.96,79.64,2279.06,Debit Card,Pending,West,2023
5ba93a24-65d0-43ba-9d98-449d7eb02da8,c240702d-b90b-4f55-91b0-37db3b8657f9,2024-10-10,Refund,9387.21,450.31,318.52,211.61,9467.03,Debit Card,Failed,North,2023
b2c3e309-b56d-4e50-a056-7141811b9639,58c81b2d-ad52-49e2-8bca-dfe964950116,2024-03-29,Sale,6673.69,675.94,178.47,40.98,6217.2,Wire Transfer,Completed,West,2023
fa7ab9d0-a95c-4634-9c3e-d909336d58c9,9a51ca3f-3d60-41ce-b5c9-f26a2180bef6,2024-05-23,Chargeback,519.04,183.62,26.16,153.32,514.9,Pix,Pending,East,2023
f77fbf25-daa9-47ff-b53a-33dfc4665d9a,8d8809a0-bba8-4ff1-8d96-3c7f13d328fe,2025-07-22,Refund,1400.59,400.63,473.99,58.58,1532.53,Pix,Failed,South,2023
8fec03b3-f1e2-4528-916c-864902dc214a,67bf324a-7437-40b0-a958-f1e96a932844,2025-03-26,Sale,1948.28,68.38,285.6,151.43,2316.93,Wire Transfer,Pending,North,2023
62954582-77ef-42c9-a7b1-e576ba829862,27d037b7-f8a1-4c04-89fe-22502a8064b3,2025-05-24,Chargeback,2487.33,598.1,238.86,88.17,2216.26,Wire Transfer,Completed,West,2023
